,LogisticRegression,LogisticRegression,DummyClassifier,DummyClassifier,MLPClassifier,MLPClassifier
,Param. Value,Error,Param. Value,Error,Param. Value,Error
KFold,,,,,,
1, 1000000,   0.040032 ,,   0.7883 , "(16,)" ,0.03921
2, 1000000,   0.035102 ,,   0.7844 , "(8,)"  ,0.03510
3, 1000000,   0.035102 ,,   0.7844 , "(8,)"  ,0.03428
4, 1000000,   0.035102 ,,   0.7844 , "(8,)"  ,0.03591
5, 1000000,   0.035102 ,,   0.7844 , "(8,)"  ,0.03591
6, 0.7220   , 0.036734 ,,   0.7902 , "(8,)"  ,0.04081
7, 0.7220   , 0.036734 ,,   0.7902 , "(8,)"  ,0.04
8, 0.2364   , 0.033469 ,,   0.7902 , "(8,)"  ,0.04163
9, 0.2364   , 0.033469 ,,   0.7902 , "(8,)"  ,0.04244
10,0.2848   , 0.041632 ,,   0.7885 , "(8,)"  ,0.04408
