,LogisticRegression,LogisticRegression,DummyClassifier,DummyClassifier,MLPClassifier,MLPClassifier
,Param. Value,Error,Param. Value,Error,Param. Value,Error
KFold,,,,,,
1, 0.04, 0.02671,,0.7996,"(8 ,)",0.02671
2, 0.07, 0.02587,,0.7779,"(8 ,)",0.02337
3, 0.04, 0.03088,,0.7813,"(8 ,)",0.03171
4, 0.07, 0.03505,,0.7913,"(20,)",0.02921
5, 0.07, 0.03005,,0.8021,"(8 ,)",0.02921
6, 0.07, 0.03250,,0.7771,"(8 ,)",0.02671
7, 0.07, 0.02587,,0.7921,"(16,)",0.025041
8, 0.07, 0.03756,,0.7771,"(8 ,)",0.030884
9, 0.07, 0.02921,,0.7888,"(8 ,)",0.02671
10,0.07, 0.03005,,0.7729,"(8 ,)",0.021702
